,price,date_of_transfer,joined
118,405000,2022-07-26,4 STATION SQUARE
119,351500,2022-07-27,4 STATION SQUARE
120,361000,2022-07-27,4 STATION SQUARE
121,370000,2022-07-27,4 STATION SQUARE
122,494500,2022-07-27,4 STATION SQUARE
123,392000,2022-07-28,4 STATION SQUARE
124,470450,2022-07-28,4 STATION SQUARE
125,383000,2022-07-28,4 STATION SQUARE
126,525000,2022-07-28,4 STATION SQUARE
127,387500,2022-07-29,4 STATION SQUARE
128,461000,2022-07-29,4 STATION SQUARE
129,365750,2022-07-29,4 STATION SQUARE
130,383150,2022-07-29,4 STATION SQUARE
131,405000,2022-07-29,4 STATION SQUARE
132,475600,2022-08-02,4 STATION SQUARE
133,485200,2022-08-12,4 STATION SQUARE
134,655500,2022-09-26,4 STATION SQUARE
135,665000,2022-09-30,4 STATION SQUARE
136,550000,2022-10-03,4 STATION SQUARE
137,695000,2022-10-03,4 STATION SQUARE
138,717000,2022-10-03,4 STATION SQUARE
139,705000,2022-10-03,4 STATION SQUARE
140,380000,2022-10-07,4 STATION SQUARE
141,671300,2022-10-13,4 STATION SQUARE
142,685000,2022-10-13,4 STATION SQUARE
143,660000,2022-10-13,4 STATION SQUARE
144,685000,2022-10-20,4 STATION SQUARE
145,680000,2022-10-26,4 STATION SQUARE
146,420000,2022-10-26,4 STATION SQUARE
147,700000,2022-10-28,4 STATION SQUARE
148,399950,2022-10-28,4 STATION SQUARE
149,415000,2022-10-28,4 STATION SQUARE
150,377500,2022-10-31,4 STATION SQUARE
151,675000,2023-03-03,4 STATION SQUARE
152,484500,2023-06-21,4 STATION SQUARE
153,20840000,2020-11-13,20 STATION ROAD
154,15215000,2021-08-09,JUPITER HOUSE STATION ROAD
155,20100000,2023-02-21,"THE TAMBURLAINE, 27 - 29 STATION ROAD"
156,383109,2022-06-16,1 STATION SQUARE
157,823000,2022-11-18,11 BATEMAN MEWS
158,975000,2023-04-06,15 BATEMAN MEWS
159,860000,2023-06-16,3 BATEMAN MEWS
160,750000,2023-08-24,6 BATEMAN MEWS
